accession	name_in_vcf	include_in_map	include_in_network	include_in_admixture	admixture_expanded	big_admix?	selection_scan_pop	admix_pop	network_color	population	latitude	longitude	ploidy_man_curated	nquire_ploidy	proportion_het%_NT1fin	Nb_S_groups_DB2022_man_curated	Species_fin	source	source_type	experimentaly_validated	snps_(2n)	collector,_comments	admix	twisst_Siberia	selection_test	est-sfs	demographic_modeling_pops							
MW0079561_9	MW0079561_9	yes	yes	yes	yes	yes	LE_2n	MW0079561_8	purple	SU_2n	71.431966	89.220123	2	3	0,34	2	A._lyrata	Moscow_University_Herbarium	herbarium								PUD							
MW0079564	MW0079564	yes	yes	yes	yes	yes	LE_2n	MW0079564	purple	SU_2n	70.861044	89.897527	2	2	0,29	1	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y		dip		PUD							
MW0079564_2	MW0079564_2	yes	yes	yes	yes	yes	LE_2n	MW0079564	purple	SU_2n	70.861044	89.897527	2	2	0,39	1	A._lyrata	Moscow_University_Herbarium	herbarium								PUD							
MW0079568-1_1	MW0079568-1_1_4n	yes	yes	no	no	yes	CESiberia_4n	MW0079569-2_1_4n	yellow	CESiberia_4n	71.67179	108.2023	4	4	0,56	3	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079568-2_1	MW0079568-2_1_4n	yes	no	no	no				exclude	exclude	72.46667	101.846	unsure	4	0,22	2	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0079568-3_1	MW0079568-3_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079568-3_1_4n	yellow	CESiberia_4n	71.6524	108.317	4	4	0,59	2	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079568-4_1	MW0079568-4_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079568-4_1_4n	yellow	CESiberia_4n	71.64702	108.2709	4	4	0,48	2	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079569-2_1	MW0079569-2_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079569-2_1_4n	yellow	CESiberia_4n	71.66347	108.2369	4	4	0,54	3	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079570	MW0079570	yes	yes	yes	yes	yes		MW0079570	selfer	selfer	70.5459	105.905	2	2	0,00	1	A._lyrata	Moscow_University_Herbarium	published		cohort2		y		dip									
MW0079572-1	MW0079572-1_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079572-1_4n	yellow	CESiberia_4n	74.09224	97.49822	4	4	0,54	4	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET							
MW0079572-2	MW0079572-2_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079572-2_4n	yellow	CESiberia_4n	74.45192	98.88936	4	4	0,52	4	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET							
MW0079572-3_1	MW0079572-3_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079572-3_1_4n	yellow	CESiberia_4n	74.43984	98.86396	4	4	0,59	3	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079573	MW0079573_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079573	yellow	CESiberia_4n	74.16692	97.5606	4	4	0,51	4	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET							
MW0079573_1	MW0079573_3_4n	yes	yes	no	no	yes	CESiberia_4n	MW0079573	yellow	CESiberia_4n	74.16692	97.5606	4	4	0,56	4	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079573_3	MW0079573_4_4n	yes	yes	no	no	yes	CESiberia_4n	MW0079573	yellow	CESiberia_4n	74.16692	97.5606	4	4	0,75	4	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079573_4	MW0079573_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079573	yellow	CESiberia_4n	74.16692	97.5606	4	4	0,65	4	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079573_5	MW0079573_5_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079573	yellow	CESiberia_4n	74.16692	97.5606	4	4	0,59	4	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079575	MW0079575_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079575_4n	yellow	CESiberia_4n	74.5005	99.691	4	4	0,49	4	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET							
MW0079577_2	MW0079577_2_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079577_2_4n	yellow	CESiberia_4n	71.2573333	103.335425	4	4	0,52	2	A._lyrata	Kolesnikova_et_al._2023	published					CESiberia_4n		CESiberia_4n	CET							
MW0079578-1	MW0079578-1_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079578-1_4n	yellow	CESiberia_4n	73.394991	80.694923	4	4	0,48	3	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET							
MW0079579	MW0079579	yes	yes	yes	yes	yes	CESiberia_2n	MW0079579	yellow	CESiberia_2n	75.27706	112.4588	2	2	0,25	2	A._lyrata	Kolesnikova_et_al._2023	published		cohort2		y	CESiberia_2n	dip		CED							
MW0079581	MW0079581	yes	yes	yes	yes	yes	CESiberia_2n	MW0079581	yellow	CESiberia_2n	75.30149	112.4086	2	2	0,29	2	A._lyrata	Kolesnikova_et_al._2023	published		cohort2		y	CESiberia_2n	dip		CED							
MW0079582	MW0079582	yes	yes	yes	yes	yes	PUWS_2n	MW0079582	pink	PUWS_2n	67.1670242	73.9422798	2	2	0,26	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	PUWS_2n	dip		PUD							
MW0079583_1	MW0079583_1	yes	yes	no	no	yes	PUWS_2n	MW0079509	pink	PUWS_2n	59.5167321	59.1124535	2	3	0,33	1	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_2n			PUD							
MW0079583_2	MW0079583_2	yes	yes	yes	yes	yes	PUWS_2n	MW0079509	pink	PUWS_2n	59.5167321	59.1124535	2	3	0,32	1	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_2n			PUD							
MW0079583_3	MW0079583_3	yes	yes	no	no	yes	PUWS_2n	MW0079509	pink	PUWS_2n	59.5167321	59.1124535	2	2	0,33	1	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_2n			PUD							
MW0079584	MW0079584_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0079584_4n	pink	PUWS_4n	68.855228	64.758948	4	4	0,52	4	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	PUWS_4n	tetra	PUWS_4n	PUT							
MW0079585	MW0079585	yes	yes	yes	yes	yes	PUWS_2n	MW0079585	pink	PUWS_2n	66.628932	72.924427	2	2	0,20	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	PUWS_2n	dip		PUD							
MW0079587_4	MW0079587_4	yes	yes	no	no	yes	LE_2n	MW0079587_6	blue	LE_2n	67.495475	78.706424	2	4	0,25	2	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_2n			PUD							
MW0079587_6	MW0079587_6	yes	yes	yes	yes	yes	LE_2n	MW0079587_6	blue	LE_2n	67.495475	78.706424	2	3	0,27	2	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_2n			PUD							
MW0079589	MW0079589_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0079589	pink	PUWS_4n	66.9574895	65.3775787	4	4	0,59	3	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	PUWS_4n	tetra	PUWS_4n	PUT							
MW0079589_11	MW0079589_11_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0079589	pink	PUWS_4n	66.9574895	65.3775787	4	4	0,57	3	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_4n		PUWS_4n	PUT							
MW0079589_8	MW0079589_8_4n	yes	yes	no	no	yes	PUWS_4n	PU7	pink	PUWS_4n	66.9574895	65.3775787	4	4	0,59	4	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_4n		PUWS_4n	PUT							
MW0079589_9	MW0079589_9_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0079589	pink	PUWS_4n	66.9574895	65.3775787	4	4	0,70	4	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_4n		PUWS_4n	PUT							
MW0079591	MW0079591	yes	yes	yes	yes	yes	PUWS_2n	MW0079591	pink	PUWS_2n	72.348909	72.087915	2	2	0,32	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	PUWS_2n	dip		PUD							
MW0079595	MW0079595	yes	yes	no	no				kam	kamchatica	59.551032	150.892347	4	2	0,58	2	A._kamchatica	Moscow_University_Herbarium	herbarium		cohort2		y											
MW0079596	MW0079596	yes	yes	no	no				kam	kamchatica	51.9751528	134.8941708	4	2	0,58	2	A._kamchatica	Moscow_University_Herbarium	herbarium		cohort2		y											
MW0079604	MW0079604	yes	yes	yes	yes	yes	CESiberia_2n	MW0079604	yellow	CESiberia_2n	74.8628	106.5649	2	2	0,30	1	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_2n	dip		CED							
MW0079604_5	MW0079604_5	yes	yes	yes	yes	yes	CESiberia_2n	MW0079604	yellow	CESiberia_2n	74.8628	106.5649	2	2	0,40	1	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_2n			CED							
MW0079605	MW0079605	yes	yes	yes	yes	yes		MW0079605	selfer	selfer	74.82053	106.3225	2	2	0,01	1	A._lyrata	Moscow_University_Herbarium	published		cohort2		y		dip									
MW0079606	MW0079606_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079606_4n	yellow	CESiberia_4n	74.86008	106.5688	4	4	0,46	4	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET							
MW0079608_2	MW0079608_2	yes	no	no	no				exclude	exclude	70.064679	83.231126	unsure	2	0,38	3	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0079608_3	MW0079608_3	yes	yes	yes	yes	yes	LE_2n	MW0079608_3	blue	LE_2n	70.064679	83.231126	2	2	0,41	2	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_2n			PUD							
MW0079609	MW0079609_3_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079609	yellow	CESiberia_4n	73.25255	90.598596	4	4	0,53	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET							
MW0079609_3	MW0079609_4_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079609	yellow	CESiberia_4n	73.25255	90.598596	4	4	0,64	2	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079609_4	MW0079609_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079609	yellow	CESiberia_4n	73.25255	90.598596	4	4	0,63	3	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0079610	MW0079610_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0079610_4n	yellow	CESiberia_4n	74.54343	98.56321	4	4	0,49	4	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET							
MW0079895	MW0079895	yes	yes	yes	yes	yes	PUWS_2n	MW0079895	pink	PUWS_2n	66.447954	72.941734	2	2	0,25	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	PUWS_2n	dip		PUD							
MW0157475	MW0157475	no	yes	no	no				kam	kamchatica	51.7493516	134.6144485	4	2	0,58	2	A._kamchatica	Kolesnikova_et_al._2023	published															
MW0157476_2	MW0157476_2	yes	yes	yes	yes	yes	CESiberia_2n	MW0157476_2	yellow	CESiberia_2n	71.88334	103.8291	2	2	0,38	2	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_2n			CED							
MW0157478	MW0157478_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0157478_4n	yellow	CESiberia_4n	71.25438	105.5609	4	4	0,45	4	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET							
MW0157478_2	MW0157478_2_4n	yes	yes	yes	yes	yes	CESiberia_4n	MW0157478_4n	yellow	CESiberia_4n	71.25438	105.5609	4	4	0,61	2	A._lyrata	Moscow_University_Herbarium	herbarium					CESiberia_4n		CESiberia_4n	CET							
MW0158706	MW0158706	yes	yes	yes	yes	yes	CESiberia_2n	MW0158706	yellow	CESiberia_2n	72.38404	103.9105	2	2	0,24	2	A._lyrata	Kolesnikova_et_al._2023	published		cohort2		y	CESiberia_2n	dip		CED							
MW0158707	MW0158707	yes	yes	yes	yes	yes	CESiberia_2n	MW0158707	yellow	CESiberia_2n	72.30339	103.1866	2	2	0,26	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_2n	dip		CED							
MW0158708	MW0158708_4n	yes	yes	no	no	yes	CESiberia_4n	MW0158708_4n	orange	CESiberia_4n	71.32261	-179.9066	unsure	4	0,40	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	CESiberia_4n	tetra	CESiberia_4n	CET							
MW0374083	MW0374083_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374083_4n	pink	PUWS_4n	66.53767	34.502	4	4	0,49	3	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	PUWS_4n	tetra	PUWS_4n	PUT							
MW0374083_4	MW0374083_4_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374083_4n	pink	PUWS_4n	66.53767	34.502	4	4	0,59	3	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_4n		PUWS_4n	PUT							
MW0374083_6	MW0374083_6_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374083_4n	pink	PUWS_4n	66.53767	34.502	4	4	0,59	2	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_4n		PUWS_4n	PUT							
MW0374084	MW0374084_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374084_4n	pink	PUWS_4n	72.2719304	52.4677849	4	4	0,53	1	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	PUWS_4n	tetra	PUWS_4n	PUT							
MW0374084_2	MW0374084_2_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374084_4n	pink	PUWS_4n	72.2719304	52.4677849	4	4	0,64	4	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_4n		PUWS_4n	PUT							
MW0374085_1	MW0374085_1_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374085_1_4n	pink	PUWS_4n	66.53767	34.502	4	4	0,44	4	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_4n		PUWS_4n	PUT							
MW0374085_11	MW0374085_11_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374085_1_4n	pink	PUWS_4n	66.53767	34.502	4	4	0,51	3	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_4n		PUWS_4n	PUT							
MW0374087	MW0374087_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374087_4n	pink	PUWS_4n	66.5378771	34.4919205	4	4	0,50	4	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	PUWS_4n	tetra	PUWS_4n								
MW0374087_5	MW0374087_5_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374087_4n	pink	PUWS_4n	66.5378771	34.4919205	4	4	0,57	4	A._lyrata	Moscow_University_Herbarium	herbarium					PUWS_4n		PUWS_4n	PUT							
MW0374087_9	MW0374087_9	yes	no	no	no				exclude	exclude	66.5378771	34.4919205	unsure	4	0,35	2	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0374094_6	MW0374094_6	yes	no	no	no				exclude	exclude	72.3738873	52.7165222	unsure	4	0,46	2	A._lyrata	Moscow_University_Herbarium	herbarium															
MW0374095	MW0374095_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374095_4n	pink	PUWS_4n	71.1367605	54.0211487	4	4	0,56	1	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	PUWS_4n	tetra	PUWS_4n	PUT							
MW0374101	MW0374101_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374101_4n	pink	PUWS_4n	71.1367605	54.0211487	4	4	0,53	4	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	PUWS_4n	tetra	PUWS_4n	PUT							
MW0374102-2	MW0374102-2_4n	yes	yes	yes	yes	yes	PUWS_4n	MW0374102-2_4n	pink	PUWS_4n	68.1229941	66.1201859	4	4	0,51	2	A._lyrata	Moscow_University_Herbarium	herbarium		cohort2		y	PUWS_4n	tetra	PUWS_4n	PUT							
NT1_1_1	NT1_1_1	yes	yes	no	no	yes		NT1	selfer	selfer	68.78978	124.02293	2	2	0,00	1	A._lyrata	NT_batch1_2019	published		cohort1	Nikita_Tikhomirov	y		dip									
NT1_2_1	NT1_2_1	yes	yes	no	no	yes		NT1	selfer	selfer	68.78978	124.02293	2	2	0,00	1	A._lyrata	NT_batch1_2019	published		cohort1	Nikita_Tikhomirov	y		dip									
NT1_3_1	NT1_3_1	yes	yes	no	no	yes		NT1	selfer	selfer	68.78978	124.02293	2	2	0,00	1	A._lyrata	NT_batch1_2019	published		cohort1	Nikita_Tikhomirov	y		dip									
NT10_1_1	NT10_1_1	yes	yes	yes	yes	yes	CESiberia_2n	NT10	orange	CESiberia_2n	71.80696	127.46523	2	3	0,32	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n			CED							
NT10_2_1	NT10_2_1	yes	yes	yes	yes	yes	CESiberia_2n	NT10	orange	CESiberia_2n	71.80696	127.46523	2	2	0,30	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n			CED							
NT10_3_1	NT10_3_1	yes	yes	yes	yes	yes	CESiberia_2n	NT10	orange	CESiberia_2n	71.80696	127.46523	2	3	0,32	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n			CED							
NT12_1_1	NT12_1_1	yes	yes	yes	yes	yes	CESiberia_2n	NT12	orange	CESiberia_2n	69.90925	125.1049	2	2	0,29	2	A._lyrata	Kolesnikova_et_al._2023	published		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT12_2_1	NT12_2_1	yes	yes	yes	yes	yes	CESiberia_2n	NT12	orange	CESiberia_2n	69.90925	125.1049	2	4	0,29	2	A._lyrata	Kolesnikova_et_al._2023	published		cohort1	Nikita_Tikhomirov	y	CESiberia_2n			CED							
NT13_9_1	NT13_9_1	yes	yes	yes	yes	yes	CESiberia_2n	NT13	orange	CESiberia_2n	71.04445	127.53303	2	2	0,28	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT14_1_1	NT14_1_1	yes	yes	no	no	yes	CESiberia_2n	NT14	orange	CESiberia_2n	71.59676	129.16077	2	2	0,31	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT14_10_1	NT14_10_1	yes	yes	no	no	yes	CESiberia_2n	NT14	orange	CESiberia_2n	71.59676	129.16077	2	2	0,29	1	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT14_11_1	NT14_11_1	yes	yes	yes	yes	yes	CESiberia_2n	NT14	orange	CESiberia_2n	71.59676	129.16077	2	2	0,32	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT14_3_1	NT14_3_1	yes	yes	no	no	yes	CESiberia_2n	NT14	orange	CESiberia_2n	71.59676	129.16077	2	2	0,31	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n			CED							
NT14_4_1	NT14_4_1	yes	yes	yes	yes	yes	CESiberia_2n	NT14	orange	CESiberia_2n	71.59676	129.16077	2	2	0,31	1	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT14_5_1	NT14_5_1	yes	yes	no	no	yes	CESiberia_2n	NT14	orange	CESiberia_2n	71.59676	129.16077	2	2	0,31	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT14_6_1	NT14_6_1	yes	yes	no	no	yes	CESiberia_2n	NT14	orange	CESiberia_2n	71.59676	129.16077	2	2	0,31	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT14_7_1	NT14_7_1	yes	yes	no	no	yes	CESiberia_2n	NT14	orange	CESiberia_2n	71.59676	129.16077	2	2	0,29	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT14_8_1	NT14_8_1	yes	yes	yes	yes	yes	CESiberia_2n	NT14	orange	CESiberia_2n	71.59676	129.16077	2	2	0,31	1	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT15_1_1	NT15_1_1	yes	yes	yes	yes	yes	CESiberia_2n	NT15	orange	CESiberia_2n	71.56023	128.76028	2	2	0,31	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT15_2_1	NT15_2_1	yes	yes	no	no	yes	CESiberia_2n	NT15	orange	CESiberia_2n	71.56023	128.76028	2	2	0,32	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT15_3_1	NT15_3_1	yes	yes	yes	yes	yes	CESiberia_2n	NT15	orange	CESiberia_2n	71.56023	128.76028	2	2	0,32	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT15_4_1	NT15_4_1	yes	yes	yes	yes	yes	CESiberia_2n	NT15	orange	CESiberia_2n	71.56023	128.76028	2	2	0,32	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT15_5_1	NT15_5_1	yes	yes	no	no	yes	CESiberia_2n	NT15	orange	CESiberia_2n	71.56023	128.76028	2	2	0,33	2	A._lyrata	NT_batch1_2019	seeds		cohort1	Nikita_Tikhomirov	y	CESiberia_2n	dip		CED							
NT16.1-1	NT16.1-1	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,37	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.1-2	NT16.1-2	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,39	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.1-4	NT16.1-4	yes	yes	yes	yes	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,40	1	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.1-5	NT16.1-5	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,39	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.2-1	NT16.2-1	yes	yes	yes	yes	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,39	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.2-2	NT16.2-2	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,39	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.3-1	NT16.3-1	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,37	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.3-5	NT16.3-5	yes	yes	yes	yes	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,40	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.3-6	NT16.3-6	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,33	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.3-7	NT16.3-7	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,39	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.4-1	NT16.4-1	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,39	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.4-2	NT16.4-2	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,38	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.4-3	NT16.4-3	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,38	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.4-4	NT16.4-4	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,37	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.5-1	NT16.5-1	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,39	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.5-2	NT16.5-2	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,38	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.5-3	NT16.5-3	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,37	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT16.5-4	NT16.5-4	yes	yes	no	no	yes	CESiberia_2n	NT16	orange	CESiberia_2n	72.91466	126.32345	2	2	0,40	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
NT17.1-1	NT17.1-1	yes	yes	no	no	yes	CESiberia_2n	NT17	orange	CESiberia_2n	71.31612	129.44675	2	2	0,40	2	A._lyrata	NT_batch_2_2020	seeds			Nikita_Tikhomirov		CESiberia_2n			CED							
